Cell_Number_2021,Plot_ID,Cell_ID,Year,Block_Num,Treatment,Shrub_Interspace,Transect,EcolState,Shrub_Encroach
50,3C_I2,3C_I2,2021,3,Control,Interspace,1,400,Medium
51,3C_I3,3C_I3,2021,3,Control,Interspace,2,400,Medium
52,3C_I4,3C_I4,2021,3,Control,Interspace,2,400,Medium
53,3C_I5,3C_I5,2021,3,Control,Interspace,3,400,Medium
54,3C_I6,3C_I6,2021,3,Control,Interspace,3,400,Medium
55,3C_S1,3C_S1,2021,3,Control,Shrub,1,400,Medium
56,3C_S2,3C_S2,2021,3,Control,Shrub,1,400,Medium
57,3C_S3,3C_S3,2021,3,Control,Shrub,2,400,Medium
58,3C_S4,3C_S4,2021,3,Control,Shrub,2,400,Medium
59,3C_S5,3C_S5,2021,3,Control,Shrub,3,400,Medium
60,3C_S6,3C_S6,2021,3,Control,Shrub,3,400,Medium
61,3H_I1,3H_I1,2021,3,Herbicide,Interspace,1,400,Medium
62,3H_I2,3H_I2,2021,3,Herbicide,Interspace,1,400,Medium
63,3H_I3,3H_I3,2021,3,Herbicide,Interspace,2,400,Medium
64,3H_I4,3H_I4,2021,3,Herbicide,Interspace,2,400,Medium
65,3H_I5,3H_I5,2021,3,Herbicide,Interspace,3,400,Medium
66,3H_I6,3H_I6,2021,3,Herbicide,Interspace,3,400,Medium
67,3H_S1,3H_S1,2021,3,Herbicide,Shrub,1,400,Medium
68,3H_S2,3H_S2,2021,3,Herbicide,Shrub,1,400,Medium
69,3H_S3,3H_S3,2021,3,Herbicide,Shrub,2,400,Medium
70,3H_S4,3H_S4,2021,3,Herbicide,Shrub,2,400,Medium
71,3H_S5,3H_S5,2021,3,Herbicide,Shrub,3,400,Medium
72,3H_S6,3H_S6,2021,3,Herbicide,Shrub,3,400,Medium
73,4C_I1,4C_I1,2021,4,Control,Interspace,1,400,Medium
74,4C_I2,4C_I2,2021,4,Control,Interspace,1,400,Medium
75,4C_I3,4C_I3,2021,4,Control,Interspace,2,400,Medium
76,4C_I4,4C_I4,2021,4,Control,Interspace,2,400,Medium
77,4C_I5,4C_I5,2021,4,Control,Interspace,3,400,Medium
78,4C_I6,4C_I6,2021,4,Control,Interspace,3,400,Medium
79,4C_S1,4C_S1,2021,4,Control,Shrub,1,400,Medium
80,4C_S2,4C_S2,2021,4,Control,Shrub,1,400,Medium
81,4C_S3,4C_S3,2021,4,Control,Shrub,2,400,Medium
82,4C_S4,4C_S4,2021,4,Control,Shrub,2,400,Medium
83,4C_S5,4C_S5,2021,4,Control,Shrub,3,400,Medium
84,4C_S6,4C_S6,2021,4,Control,Shrub,3,400,Medium
85,4H_I1,4H_I1,2021,4,Herbicide,Interspace,1,400,Medium
86,4H_I2,4H_I2,2021,4,Herbicide,Interspace,1,400,Medium
87,4H_I3,4H_I3,2021,4,Herbicide,Interspace,2,400,Medium
88,4H_I4,4H_I4,2021,4,Herbicide,Interspace,2,400,Medium
89,4H_I5,4H_I5,2021,4,Herbicide,Interspace,3,400,Medium
90,4H_I6,4H_I6,2021,4,Herbicide,Interspace,3,400,Medium
91,4H_S1,4H_S1,2021,4,Herbicide,Shrub,1,400,Medium
92,4H_S2,4H_S2,2021,4,Herbicide,Shrub,1,400,Medium
93,4H_S3,4H_S3,2021,4,Herbicide,Shrub,2,400,Medium
94,4H_S4,4H_S4,2021,4,Herbicide,Shrub,2,400,Medium
95,4H_S5,4H_S5,2021,4,Herbicide,Shrub,3,400,Medium
96,4H_S6,4H_S6,2021,4,Herbicide,Shrub,3,400,Medium
97,5C_I1,5C_I1,2021,5,Control,Interspace,1,600,High
98,5C_I2,5C_I2,2021,5,Control,Interspace,1,600,High
99,5C_I3,5C_I3,2021,5,Control,Interspace,2,600,High
100,5C_I4,5C_I4,2021,5,Control,Interspace,2,600,High
101,5C_I5,5C_I5,2021,5,Control,Interspace,3,600,High
102,5C_I6,5C_I6,2021,5,Control,Interspace,3,600,High
103,5C_S1,5C_S1,2021,5,Control,Shrub,1,600,High
104,5C_S2,5C_S2,2021,5,Control,Shrub,1,600,High
105,5C_S3,5C_S3,2021,5,Control,Shrub,2,600,High
106,5C_S4,5C_S4,2021,5,Control,Shrub,2,600,High
107,5C_S5,5C_S5,2021,5,Control,Shrub,3,600,High
108,5C_S6,5C_S6,2021,5,Control,Shrub,3,600,High
109,5H_I1,5H_I1,2021,5,Herbicide,Interspace,1,600,High
110,5H_I2,5H_I2,2021,5,Herbicide,Interspace,1,600,High
111,5H_I3,5H_I3,2021,5,Herbicide,Interspace,2,600,High
112,5H_I4,5H_I4,2021,5,Herbicide,Interspace,2,600,High
113,5H_I5,5H_I5,2021,5,Herbicide,Interspace,3,600,High
114,5H_I6,5H_I6,2021,5,Herbicide,Interspace,3,600,High
115,5H_S1,5H_S1,2021,5,Herbicide,Shrub,1,600,High
116,5H_S2,5H_S2,2021,5,Herbicide,Shrub,1,600,High
117,5H_S3,5H_S3,2021,5,Herbicide,Shrub,2,600,High
118,5H_S4,5H_S4,2021,5,Herbicide,Shrub,2,600,High
119,5H_S5,5H_S5,2021,5,Herbicide,Shrub,3,600,High
120,5H_S6,5H_S6,2021,5,Herbicide,Shrub,3,600,High
121,6C_I1,6C_I1,2021,6,Control,Interspace,1,600,High
122,6C_I2,6C_I2,2021,6,Control,Interspace,1,600,High
123,6C_I3,6C_I3,2021,6,Control,Interspace,2,600,High
124,6C_I4,6C_I4,2021,6,Control,Interspace,2,600,High
125,6C_I5,6C_I5,2021,6,Control,Interspace,3,600,High
126,6C_I6,6C_I6,2021,6,Control,Interspace,3,600,High
127,6C_S1,6C_S1,2021,6,Control,Shrub,1,600,High
128,6C_S2,6C_S2,2021,6,Control,Shrub,1,600,High
129,6C_S3,6C_S3,2021,6,Control,Shrub,2,600,High
130,6C_S4,6C_S4,2021,6,Control,Shrub,2,600,High
131,6C_S5,6C_S5,2021,6,Control,Shrub,3,600,High
132,6C_S6,6C_S6,2021,6,Control,Shrub,3,600,High
133,6H_I1,6H_I1,2021,6,Herbicide,Interspace,1,600,High
134,6H_I2,6H_I2,2021,6,Herbicide,Interspace,1,600,High
135,6H_I3,6H_I3,2021,6,Herbicide,Interspace,2,600,High
136,6H_I4,6H_I4,2021,6,Herbicide,Interspace,2,600,High
137,6H_I5,6H_I5,2021,6,Herbicide,Interspace,3,600,High
138,6H_I6,6H_I6,2021,6,Herbicide,Interspace,3,600,High
139,6H_S1,6H_S1,2021,6,Herbicide,Shrub,1,600,High
140,6H_S2,6H_S2,2021,6,Herbicide,Shrub,1,600,High
141,6H_S3,6H_S3,2021,6,Herbicide,Shrub,2,600,High
142,6H_S4,6H_S4,2021,6,Herbicide,Shrub,2,600,High
143,6H_S5,6H_S5,2021,6,Herbicide,Shrub,3,600,High
144,6H_S6,6H_S6,2021,6,Herbicide,Shrub,3,600,High
145,7C_I1,7C_I1,2021,7,Control,Interspace,1,600,High
146,7C_I2,7C_I2,2021,7,Control,Interspace,1,600,High
147,7C_I3,7C_I3,2021,7,Control,Interspace,2,600,High
148,7C_I4,7C_I4,2021,7,Control,Interspace,2,600,High
149,7C_I5,7C_I5,2021,7,Control,Interspace,3,600,High
150,7C_I6,7C_I6,2021,7,Control,Interspace,3,600,High
151,7C_S1,7C_S1,2021,7,Control,Shrub,1,600,High
152,7C_S2,7C_S2,2021,7,Control,Shrub,1,600,High
153,7C_S3,7C_S3,2021,7,Control,Shrub,2,600,High
154,7C_S4,7C_S4,2021,7,Control,Shrub,2,600,High
155,7C_S5,7C_S5,2021,7,Control,Shrub,3,600,High
156,7C_S6,7C_S6,2021,7,Control,Shrub,3,600,High
157,7H_I1,7H_I1,2021,7,Herbicide,Interspace,1,600,High
158,7H_I2,7H_I2,2021,7,Herbicide,Interspace,1,600,High
159,7H_I3,7H_I3,2021,7,Herbicide,Interspace,2,600,High
160,7H_I4,7H_I4,2021,7,Herbicide,Interspace,2,600,High
161,7H_I5,7H_I5,2021,7,Herbicide,Interspace,3,600,High
162,7H_I6,7H_I6,2021,7,Herbicide,Interspace,3,600,High
163,7H_S1,7H_S1,2021,7,Herbicide,Shrub,1,600,High
164,7H_S2,7H_S2,2021,7,Herbicide,Shrub,1,600,High
165,7H_S3,7H_S3,2021,7,Herbicide,Shrub,2,600,High
166,7H_S4,7H_S4,2021,7,Herbicide,Shrub,2,600,High
167,7H_S5,7H_S5,2021,7,Herbicide,Shrub,3,600,High
168,7H_S6,7H_S6,2021,7,Herbicide,Shrub,3,600,High
169,8C_I1,8C_I1,2021,8,Control,Interspace,1,400,Medium
170,8C_I2,8C_I2,2021,8,Control,Interspace,1,400,Medium
171,8C_I3,8C_I3,2021,8,Control,Interspace,2,400,Medium
172,8C_I4,8C_I4,2021,8,Control,Interspace,2,400,Medium
173,8C_I5,8C_I5,2021,8,Control,Interspace,3,400,Medium
174,8C_I6,8C_I6,2021,8,Control,Interspace,3,400,Medium
175,8C_S1,8C_S1,2021,8,Control,Shrub,1,400,Medium
176,8C_S2,8C_S2,2021,8,Control,Shrub,1,400,Medium
177,8C_S3,8C_S3,2021,8,Control,Shrub,2,400,Medium
178,8C_S4,8C_S4,2021,8,Control,Shrub,2,400,Medium
179,8C_S5,8C_S5,2021,8,Control,Shrub,3,400,Medium
180,8C_S6,8C_S6,2021,8,Control,Shrub,3,400,Medium
181,8H_I1,8H_I1,2021,8,Herbicide,Interspace,1,400,Medium
182,8H_I2,8H_I2,2021,8,Herbicide,Interspace,1,400,Medium
183,8H_I3,8H_I3,2021,8,Herbicide,Interspace,2,400,Medium
184,8H_I4,8H_I4,2021,8,Herbicide,Interspace,2,400,Medium
185,8H_I5,8H_I5,2021,8,Herbicide,Interspace,3,400,Medium
186,8H_I6,8H_I6,2021,8,Herbicide,Interspace,3,400,Medium
187,8H_S1,8H_S1,2021,8,Herbicide,Shrub,1,400,Medium
188,8H_S2,8H_S2,2021,8,Herbicide,Shrub,1,400,Medium
189,8H_S3,8H_S3,2021,8,Herbicide,Shrub,2,400,Medium
190,8H_S4,8H_S4,2021,8,Herbicide,Shrub,2,400,Medium
191,8H_S5,8H_S5,2021,8,Herbicide,Shrub,3,400,Medium
192,8H_S6,8H_S6,2021,8,Herbicide,Shrub,3,400,Medium
193,9C_I1,9C_I1,2021,9,Control,Interspace,1,400,Medium
194,9C_I2,9C_I2,2021,9,Control,Interspace,1,400,Medium
195,9C_I3,9C_I3,2021,9,Control,Interspace,2,400,Medium
196,9C_I4,9C_I4,2021,9,Control,Interspace,2,400,Medium
197,9C_I5,9C_I5,2021,9,Control,Interspace,3,400,Medium
198,9C_I6,9C_I6,2021,9,Control,Interspace,3,400,Medium
199,9C_S1,9C_S1,2021,9,Control,Shrub,1,400,Medium
200,9C_S2,9C_S2,2021,9,Control,Shrub,1,400,Medium
201,9C_S3,9C_S3,2021,9,Control,Shrub,2,400,Medium
202,9C_S4,9C_S4,2021,9,Control,Shrub,2,400,Medium
203,9C_S5,9C_S5,2021,9,Control,Shrub,3,400,Medium
204,9C_S6,9C_S6,2021,9,Control,Shrub,3,400,Medium
205,9H_I1,9H_I1,2021,9,Herbicide,Interspace,1,400,Medium
206,9H_I2,9H_I2,2021,9,Herbicide,Interspace,1,400,Medium
207,9H_I3,9H_I3,2021,9,Herbicide,Interspace,2,400,Medium
208,9H_I4,9H_I4,2021,9,Herbicide,Interspace,2,400,Medium
209,9H_I5,9H_I5,2021,9,Herbicide,Interspace,3,400,Medium
210,9H_I6,9H_I6,2021,9,Herbicide,Interspace,3,400,Medium
211,9H_S1,9H_S1,2021,9,Herbicide,Shrub,1,400,Medium
212,9H_S2,9H_S2,2021,9,Herbicide,Shrub,1,400,Medium
213,9H_S3,9H_S3,2021,9,Herbicide,Shrub,2,400,Medium
214,9H_S4,9H_S4,2021,9,Herbicide,Shrub,2,400,Medium
215,9H_S5,9H_S5,2021,9,Herbicide,Shrub,3,400,Medium
216,9H_S6,9H_S6,2021,9,Herbicide,Shrub,3,400,Medium
217,10C_I1,10C_I1,2021,10,Control,Interspace,1,100,Low
218,10C_I2,10C_I2,2021,10,Control,Interspace,1,100,Low
219,10C_I3,10C_I3,2021,10,Control,Interspace,2,100,Low
220,10C_I4,10C_I4,2021,10,Control,Interspace,2,100,Low
221,10C_I5,10C_I5,2021,10,Control,Interspace,3,100,Low
222,10C_I6,10C_I6,2021,10,Control,Interspace,3,100,Low
223,10C_S1,10C_S1,2021,10,Control,Shrub,1,100,Low
224,10C_S2,10C_S2,2021,10,Control,Shrub,1,100,Low
225,10C_S3,10C_S3,2021,10,Control,Shrub,2,100,Low
226,10C_S4,10C_S4,2021,10,Control,Shrub,2,100,Low
227,10C_S5,10C_S5,2021,10,Control,Shrub,3,100,Low
228,10C_S6,10C_S6,2021,10,Control,Shrub,3,100,Low
229,10H_I1,10H_I1,2021,10,Herbicide,Interspace,1,100,Low
230,10H_I2,10H_I2,2021,10,Herbicide,Interspace,1,100,Low
231,10H_I3,10H_I3,2021,10,Herbicide,Interspace,2,100,Low
232,10H_I4,10H_I4,2021,10,Herbicide,Interspace,2,100,Low
233,10H_I5,10H_I5,2021,10,Herbicide,Interspace,3,100,Low
234,10H_I6,10H_I6,2021,10,Herbicide,Interspace,3,100,Low
235,10H_S1,10H_S1,2021,10,Herbicide,Shrub,1,100,Low
236,10H_S2,10H_S2,2021,10,Herbicide,Shrub,1,100,Low
237,10H_S3,10H_S3,2021,10,Herbicide,Shrub,2,100,Low
238,10H_S4,10H_S4,2021,10,Herbicide,Shrub,2,100,Low
239,10H_S5,10H_S5,2021,10,Herbicide,Shrub,3,100,Low
240,10H_S6,10H_S6,2021,10,Herbicide,Shrub,3,100,Low
241,11C_I1,11C_I1,2021,11,Control,Interspace,1,400,Medium
242,11C_I2,11C_I2,2021,11,Control,Interspace,1,400,Medium
243,11C_I3,11C_I3,2021,11,Control,Interspace,2,400,Medium
244,11C_I4,11C_I4,2021,11,Control,Interspace,2,400,Medium
245,11C_I5,11C_I5,2021,11,Control,Interspace,3,400,Medium
246,11C_I6,11C_I6,2021,11,Control,Interspace,3,400,Medium
247,11C_S1,11C_S1,2021,11,Control,Shrub,1,400,Medium
248,11C_S2,11C_S2,2021,11,Control,Shrub,1,400,Medium
249,11C_S3,11C_S3,2021,11,Control,Shrub,2,400,Medium
250,11C_S4,11C_S4,2021,11,Control,Shrub,2,400,Medium
251,11C_S5,11C_S5,2021,11,Control,Shrub,3,400,Medium
252,11C_S6,11C_S6,2021,11,Control,Shrub,3,400,Medium
253,11H_I1,11H_I1,2021,11,Herbicide,Interspace,1,400,Medium
254,11H_I2,11H_I2,2021,11,Herbicide,Interspace,1,400,Medium
255,11H_I3,11H_I3,2021,11,Herbicide,Interspace,2,400,Medium
256,11H_I4,11H_I4,2021,11,Herbicide,Interspace,2,400,Medium
257,11H_I5,11H_I5,2021,11,Herbicide,Interspace,3,400,Medium
258,11H_I6,11H_I6,2021,11,Herbicide,Interspace,3,400,Medium
259,11H_S1,11H_S1,2021,11,Herbicide,Shrub,1,400,Medium
260,11H_S2,11H_S2,2021,11,Herbicide,Shrub,1,400,Medium
261,11H_S3,11H_S3,2021,11,Herbicide,Shrub,2,400,Medium
262,11H_S4,11H_S4,2021,11,Herbicide,Shrub,2,400,Medium
263,11H_S5,11H_S5,2021,11,Herbicide,Shrub,3,400,Medium
264,11H_S6,11H_S6,2021,11,Herbicide,Shrub,3,400,Medium
265,12C_I1,12C_I1,2021,12,Control,Interspace,1,400,Medium
266,12C_I2,12C_I2,2021,12,Control,Interspace,1,400,Medium
267,12C_I3,12C_I3,2021,12,Control,Interspace,2,400,Medium
268,12C_I4,12C_I4,2021,12,Control,Interspace,2,400,Medium
269,12C_I5,12C_I5,2021,12,Control,Interspace,3,400,Medium
270,12C_I6,12C_I6,2021,12,Control,Interspace,3,400,Medium
271,12C_S1,12C_S1,2021,12,Control,Shrub,1,400,Medium
272,12C_S2,12C_S2,2021,12,Control,Shrub,1,400,Medium
273,12C_S3,12C_S3,2021,12,Control,Shrub,2,400,Medium
274,12C_S4,12C_S4,2021,12,Control,Shrub,2,400,Medium
275,12C_S5,12C_S5,2021,12,Control,Shrub,3,400,Medium
276,12C_S6,12C_S6,2021,12,Control,Shrub,3,400,Medium
277,12H_I1,12H_I1,2021,12,Herbicide,Interspace,1,400,Medium
278,12H_I2,12H_I2,2021,12,Herbicide,Interspace,1,400,Medium
279,12H_I3,12H_I3,2021,12,Herbicide,Interspace,2,400,Medium
280,12H_I4,12H_I4,2021,12,Herbicide,Interspace,2,400,Medium
281,12H_I5,12H_I5,2021,12,Herbicide,Interspace,3,400,Medium
282,12H_I6,12H_I6,2021,12,Herbicide,Interspace,3,400,Medium
283,12H_S1,12H_S1,2021,12,Herbicide,Shrub,1,400,Medium
284,12H_S2,12H_S2,2021,12,Herbicide,Shrub,1,400,Medium
285,12H_S3,12H_S3,2021,12,Herbicide,Shrub,2,400,Medium
286,12H_S4,12H_S4,2021,12,Herbicide,Shrub,2,400,Medium
287,12H_S5,12H_S5,2021,12,Herbicide,Shrub,3,400,Medium
288,12H_S6,12H_S6,2021,12,Herbicide,Shrub,3,400,Medium
289,13C_I1,13C_I1,2021,13,Control,Interspace,1,400,Medium
290,13C_I2,13C_I2,2021,13,Control,Interspace,1,400,Medium
291,13C_I3,13C_I3,2021,13,Control,Interspace,2,400,Medium
292,13C_I4,13C_I4,2021,13,Control,Interspace,2,400,Medium
293,13C_I5,13C_I5,2021,13,Control,Interspace,3,400,Medium
294,13C_I6,13C_I6,2021,13,Control,Interspace,3,400,Medium
295,13C_S1,13C_S1,2021,13,Control,Shrub,1,400,Medium
296,13C_S2,13C_S2,2021,13,Control,Shrub,1,400,Medium
297,13C_S3,13C_S3,2021,13,Control,Shrub,2,400,Medium
298,13C_S4,13C_S4,2021,13,Control,Shrub,2,400,Medium
299,13C_S5,13C_S5,2021,13,Control,Shrub,3,400,Medium
300,13C_S6,13C_S6,2021,13,Control,Shrub,3,400,Medium
301,13H_I1,13H_I1,2021,13,Herbicide,Interspace,1,400,Medium
302,13H_I2,13H_I2,2021,13,Herbicide,Interspace,1,400,Medium
303,13H_I3,13H_I3,2021,13,Herbicide,Interspace,2,400,Medium
304,13H_I4,13H_I4,2021,13,Herbicide,Interspace,2,400,Medium
305,13H_I5,13H_I5,2021,13,Herbicide,Interspace,3,400,Medium
306,13H_I6,13H_I6,2021,13,Herbicide,Interspace,3,400,Medium
307,13H_S1,13H_S1,2021,13,Herbicide,Shrub,1,400,Medium
308,13H_S2,13H_S2,2021,13,Herbicide,Shrub,1,400,Medium
309,13H_S3,13H_S3,2021,13,Herbicide,Shrub,2,400,Medium
310,13H_S4,13H_S4,2021,13,Herbicide,Shrub,2,400,Medium
311,13H_S5,13H_S5,2021,13,Herbicide,Shrub,3,400,Medium
312,13H_S6,13H_S6,2021,13,Herbicide,Shrub,3,400,Medium
313,14C_I1,14C_I1,2021,14,Control,Interspace,1,600,High
314,14C_I2,14C_I2,2021,14,Control,Interspace,1,600,High
315,14C_I3,14C_I3,2021,14,Control,Interspace,2,600,High
316,14C_I4,14C_I4,2021,14,Control,Interspace,2,600,High
317,14C_I5,14C_I5,2021,14,Control,Interspace,3,600,High
318,14C_I6,14C_I6,2021,14,Control,Interspace,3,600,High
319,14C_S1,14C_S1,2021,14,Control,Shrub,1,600,High
320,14C_S2,14C_S2,2021,14,Control,Shrub,1,600,High
321,14C_S3,14C_S3,2021,14,Control,Shrub,2,600,High
322,14C_S4,14C_S4,2021,14,Control,Shrub,2,600,High
323,14C_S5,14C_S5,2021,14,Control,Shrub,3,600,High
324,14C_S6,14C_S6,2021,14,Control,Shrub,3,600,High
325,14H_I1,14H_I1,2021,14,Herbicide,Interspace,1,600,High
326,14H_I2,14H_I2,2021,14,Herbicide,Interspace,1,600,High
327,14H_I3,14H_I3,2021,14,Herbicide,Interspace,2,600,High
328,14H_I4,14H_I4,2021,14,Herbicide,Interspace,2,600,High
329,14H_I5,14H_I5,2021,14,Herbicide,Interspace,3,600,High
330,14H_I6,14H_I6,2021,14,Herbicide,Interspace,3,600,High
331,14H_S1,14H_S1,2021,14,Herbicide,Shrub,1,600,High
332,14H_S2,14H_S2,2021,14,Herbicide,Shrub,1,600,High
333,14H_S3,14H_S3,2021,14,Herbicide,Shrub,2,600,High
334,14H_S4,14H_S4,2021,14,Herbicide,Shrub,2,600,High
335,14H_S5,14H_S5,2021,14,Herbicide,Shrub,3,600,High
336,14H_S6,14H_S6,2021,14,Herbicide,Shrub,3,600,High
337,15C_I1,15C_I1,2021,15,Control,Interspace,1,600,High
338,15C_I2,15C_I2,2021,15,Control,Interspace,1,600,High
339,15C_I3,15C_I3,2021,15,Control,Interspace,2,600,High
340,15C_I4,15C_I4,2021,15,Control,Interspace,2,600,High
341,15C_I5,15C_I5,2021,15,Control,Interspace,3,600,High
342,15C_I6,15C_I6,2021,15,Control,Interspace,3,600,High
343,15C_S1,15C_S1,2021,15,Control,Shrub,1,600,High
344,15C_S2,15C_S2,2021,15,Control,Shrub,1,600,High
345,15C_S3,15C_S3,2021,15,Control,Shrub,2,600,High
346,15C_S4,15C_S4,2021,15,Control,Shrub,2,600,High
347,15C_S5,15C_S5,2021,15,Control,Shrub,3,600,High
348,15C_S6,15C_S6,2021,15,Control,Shrub,3,600,High
349,15H_I1,15H_I1,2021,15,Herbicide,Interspace,1,600,High
350,15H_I2,15H_I2,2021,15,Herbicide,Interspace,1,600,High
351,15H_I3,15H_I3,2021,15,Herbicide,Interspace,2,600,High
352,15H_I4,15H_I4,2021,15,Herbicide,Interspace,2,600,High
353,15H_I5,15H_I5,2021,15,Herbicide,Interspace,3,600,High
354,15H_I6,15H_I6,2021,15,Herbicide,Interspace,3,600,High
355,15H_S1,15H_S1,2021,15,Herbicide,Shrub,1,600,High
356,15H_S2,15H_S2,2021,15,Herbicide,Shrub,1,600,High
357,15H_S3,15H_S3,2021,15,Herbicide,Shrub,2,600,High
358,15H_S4,15H_S4,2021,15,Herbicide,Shrub,2,600,High
359,15H_S5,15H_S5,2021,15,Herbicide,Shrub,3,600,High
360,15H_S6,15H_S6,2021,15,Herbicide,Shrub,3,600,High
361,16C_I1,16C_I1,2021,16,Control,Interspace,1,100,Low
362,16C_I2,16C_I2,2021,16,Control,Interspace,1,100,Low
363,16C_I3,16C_I3,2021,16,Control,Interspace,2,100,Low
364,16C_I4,16C_I4,2021,16,Control,Interspace,2,100,Low
365,16C_I5,16C_I5,2021,16,Control,Interspace,3,100,Low
366,16C_I6,16C_I6,2021,16,Control,Interspace,3,100,Low
367,16C_S1,16C_S1,2021,16,Control,Shrub,1,100,Low
368,16C_S2,16C_S2,2021,16,Control,Shrub,1,100,Low
369,16C_S3,16C_S3,2021,16,Control,Shrub,2,100,Low
370,16C_S4,16C_S4,2021,16,Control,Shrub,2,100,Low
371,16C_S5,16C_S5,2021,16,Control,Shrub,3,100,Low
372,16C_S6,16C_S6,2021,16,Control,Shrub,3,100,Low
373,16H_I1,16H_I1,2021,16,Herbicide,Interspace,1,100,Low
374,16H_I2,16H_I2,2021,16,Herbicide,Interspace,1,100,Low
375,16H_I3,16H_I3,2021,16,Herbicide,Interspace,2,100,Low
376,16H_I4,16H_I4,2021,16,Herbicide,Interspace,2,100,Low
377,16H_I5,16H_I5,2021,16,Herbicide,Interspace,3,100,Low
378,16H_I6,16H_I6,2021,16,Herbicide,Interspace,3,100,Low
379,16H_S1,16H_S1,2021,16,Herbicide,Shrub,1,100,Low
380,16H_S2,16H_S2,2021,16,Herbicide,Shrub,1,100,Low
381,16H_S3,16H_S3,2021,16,Herbicide,Shrub,2,100,Low
382,16H_S4,16H_S4,2021,16,Herbicide,Shrub,2,100,Low
383,16H_S5,16H_S5,2021,16,Herbicide,Shrub,3,100,Low
384,16H_S6,16H_S6,2021,16,Herbicide,Shrub,3,100,Low
385,17C_I1,17C_I1,2021,17,Control,Interspace,1,600,High
386,17C_I2,17C_I2,2021,17,Control,Interspace,1,600,High
387,17C_I3,17C_I3,2021,17,Control,Interspace,2,600,High
388,17C_I4,17C_I4,2021,17,Control,Interspace,2,600,High
389,17C_I5,17C_I5,2021,17,Control,Interspace,3,600,High
390,17C_I6,17C_I6,2021,17,Control,Interspace,3,600,High
391,17C_S1,17C_S1,2021,17,Control,Shrub,1,600,High
