Plot_ID,Year,Block_Num,Treatment,Shrub_Interspace,Transect,EcolState,Shrub_Encroach,,,
2H_I5,2020,2,Herbicide,Interspace,3,600,High,,,
2H_I6,2020,2,Herbicide,Interspace,3,600,High,,,
2H_S1,2020,2,Herbicide,Shrub,1,600,High,,,
2H_S2,2020,2,Herbicide,Shrub,1,600,High,,,
2H_S3,2020,2,Herbicide,Shrub,2,600,High,,,
2H_S4,2020,2,Herbicide,Shrub,2,600,High,,,
2H_S5,2020,2,Herbicide,Shrub,3,600,High,,,
2H_S6,2020,2,Herbicide,Shrub,3,600,High,,,
3C_I1,2020,3,Control,Interspace,1,400,Medium,,,
3C_I2,2020,3,Control,Interspace,1,400,Medium,,,
3C_I3,2020,3,Control,Interspace,2,400,Medium,,,
3C_I4,2020,3,Control,Interspace,2,400,Medium,,,
3C_I5,2020,3,Control,Interspace,3,400,Medium,,,
3C_I6,2020,3,Control,Interspace,3,400,Medium,,,
3C_S1,2020,3,Control,Shrub,1,400,Medium,,,
3C_S2,2020,3,Control,Shrub,1,400,Medium,,,
3C_S3,2020,3,Control,Shrub,2,400,Medium,,,
3C_S4,2020,3,Control,Shrub,2,400,Medium,,,
3C_S5,2020,3,Control,Shrub,3,400,Medium,,,
3C_S6,2020,3,Control,Shrub,3,400,Medium,,,
3H_I1,2020,3,Herbicide,Interspace,1,400,Medium,,,
3H_I2,2020,3,Herbicide,Interspace,1,400,Medium,,,
3H_I3,2020,3,Herbicide,Interspace,2,400,Medium,,,
3H_I4,2020,3,Herbicide,Interspace,2,400,Medium,,,
3H_I5,2020,3,Herbicide,Interspace,3,400,Medium,,,
3H_I6,2020,3,Herbicide,Interspace,3,400,Medium,,,
3H_S1,2020,3,Herbicide,Shrub,1,400,Medium,,,
3H_S2,2020,3,Herbicide,Shrub,1,400,Medium,,,
3H_S3,2020,3,Herbicide,Shrub,2,400,Medium,,,
3H_S4,2020,3,Herbicide,Shrub,2,400,Medium,,,
3H_S5,2020,3,Herbicide,Shrub,3,400,Medium,,,
3H_S6,2020,3,Herbicide,Shrub,3,400,Medium,,,
4C_I1,2020,4,Control,Interspace,1,400,Medium,,,
4C_I2,2020,4,Control,Interspace,1,400,Medium,,,
4C_I3,2020,4,Control,Interspace,2,400,Medium,,,
4C_I4,2020,4,Control,Interspace,2,400,Medium,,,
4C_I5,2020,4,Control,Interspace,3,400,Medium,,,
4C_I6,2020,4,Control,Interspace,3,400,Medium,,,
4C_S1,2020,4,Control,Shrub,1,400,Medium,,,
4C_S2,2020,4,Control,Shrub,1,400,Medium,,,
4C_S3,2020,4,Control,Shrub,2,400,Medium,,,
4C_S4,2020,4,Control,Shrub,2,400,Medium,,,
4C_S5,2020,4,Control,Shrub,3,400,Medium,,,
4C_S6,2020,4,Control,Shrub,3,400,Medium,,,
4H_I1,2020,4,Herbicide,Interspace,1,400,Medium,,,
4H_I2,2020,4,Herbicide,Interspace,1,400,Medium,,,
4H_I3,2020,4,Herbicide,Interspace,2,400,Medium,,,
4H_I4,2020,4,Herbicide,Interspace,2,400,Medium,,,
4H_I5,2020,4,Herbicide,Interspace,3,400,Medium,,,
4H_I6,2020,4,Herbicide,Interspace,3,400,Medium,,,
4H_S1,2020,4,Herbicide,Shrub,1,400,Medium,,,
4H_S2,2020,4,Herbicide,Shrub,1,400,Medium,,,
4H_S3,2020,4,Herbicide,Shrub,2,400,Medium,,,
4H_S4,2020,4,Herbicide,Shrub,2,400,Medium,,,
4H_S5,2020,4,Herbicide,Shrub,3,400,Medium,,,
4H_S6,2020,4,Herbicide,Shrub,3,400,Medium,,,
8C_I1,2020,8,Control,Interspace,1,400,Medium,,,
8C_I2,2020,8,Control,Interspace,1,400,Medium,,,
8C_I3,2020,8,Control,Interspace,2,400,Medium,,,
8C_I4,2020,8,Control,Interspace,2,400,Medium,,,
8C_I5,2020,8,Control,Interspace,3,400,Medium,,,
8C_I6,2020,8,Control,Interspace,3,400,Medium,,,
8C_S1,2020,8,Control,Shrub,1,400,Medium,,,
8C_S2,2020,8,Control,Shrub,1,400,Medium,,,
8C_S3,2020,8,Control,Shrub,2,400,Medium,,,
8C_S4,2020,8,Control,Shrub,2,400,Medium,,,
8C_S5,2020,8,Control,Shrub,3,400,Medium,,,
8C_S6,2020,8,Control,Shrub,3,400,Medium,,,
8H_I1,2020,8,Herbicide,Interspace,1,400,Medium,,,
8H_I2,2020,8,Herbicide,Interspace,1,400,Medium,,,
8H_I3,2020,8,Herbicide,Interspace,2,400,Medium,,,
8H_I4,2020,8,Herbicide,Interspace,2,400,Medium,,,
8H_I5,2020,8,Herbicide,Interspace,3,400,Medium,,,
8H_I6,2020,8,Herbicide,Interspace,3,400,Medium,,,
8H_S1,2020,8,Herbicide,Shrub,1,400,Medium,,,
8H_S2,2020,8,Herbicide,Shrub,1,400,Medium,,,
8H_S3,2020,8,Herbicide,Shrub,2,400,Medium,,,
8H_S4,2020,8,Herbicide,Shrub,2,400,Medium,,,
8H_S5,2020,8,Herbicide,Shrub,3,400,Medium,,,
8H_S6,2020,8,Herbicide,Shrub,3,400,Medium,,,
9C_I1,2020,9,Control,Interspace,1,400,Medium,,,
9C_I2,2020,9,Control,Interspace,1,400,Medium,,,
9C_I3,2020,9,Control,Interspace,2,400,Medium,,,
9C_I4,2020,9,Control,Interspace,2,400,Medium,,,
9C_I5,2020,9,Control,Interspace,3,400,Medium,,,
9C_I6,2020,9,Control,Interspace,3,400,Medium,,,
9C_S1,2020,9,Control,Shrub,1,400,Medium,,,
9C_S2,2020,9,Control,Shrub,1,400,Medium,,,
9C_S3,2020,9,Control,Shrub,2,400,Medium,,,
9C_S4,2020,9,Control,Shrub,2,400,Medium,,,
9C_S5,2020,9,Control,Shrub,3,400,Medium,,,
9C_S6,2020,9,Control,Shrub,3,400,Medium,,,
9H_I1,2020,9,Herbicide,Interspace,1,400,Medium,,,
9H_I2,2020,9,Herbicide,Interspace,1,400,Medium,,,
9H_I3,2020,9,Herbicide,Interspace,2,400,Medium,,,
9H_I4,2020,9,Herbicide,Interspace,2,400,Medium,,,
9H_I5,2020,9,Herbicide,Interspace,3,400,Medium,,,
9H_I6,2020,9,Herbicide,Interspace,3,400,Medium,,,
9H_S1,2020,9,Herbicide,Shrub,1,400,Medium,,,
9H_S2,2020,9,Herbicide,Shrub,1,400,Medium,,,
9H_S3,2020,9,Herbicide,Shrub,2,400,Medium,,,
9H_S4,2020,9,Herbicide,Shrub,2,400,Medium,,,
9H_S5,2020,9,Herbicide,Shrub,3,400,Medium,,,
9H_S6,2020,9,Herbicide,Shrub,3,400,Medium,,,
10C_I1,2020,10,Control,Interspace,1,100,Low,,,
10C_I2,2020,10,Control,Interspace,1,100,Low,,,
10C_I3,2020,10,Control,Interspace,2,100,Low,,,
10C_I4,2020,10,Control,Interspace,2,100,Low,,,
10C_I5,2020,10,Control,Interspace,3,100,Low,,,
10C_I6,2020,10,Control,Interspace,3,100,Low,,,
10C_S1,2020,10,Control,Shrub,1,100,Low,,,
10C_S2,2020,10,Control,Shrub,1,100,Low,,,
10C_S3,2020,10,Control,Shrub,2,100,Low,,,
10C_S4,2020,10,Control,Shrub,2,100,Low,,,
10C_S5,2020,10,Control,Shrub,3,100,Low,,,
10C_S6,2020,10,Control,Shrub,3,100,Low,,,
10H_I1,2020,10,Herbicide,Interspace,1,100,Low,,,
10H_I2,2020,10,Herbicide,Interspace,1,100,Low,,,
10H_I3,2020,10,Herbicide,Interspace,2,100,Low,,,
10H_I4,2020,10,Herbicide,Interspace,2,100,Low,,,
10H_I5,2020,10,Herbicide,Interspace,3,100,Low,,,
10H_I6,2020,10,Herbicide,Interspace,3,100,Low,,,
10H_S1,2020,10,Herbicide,Shrub,1,100,Low,,,
10H_S2,2020,10,Herbicide,Shrub,1,100,Low,,,
10H_S3,2020,10,Herbicide,Shrub,2,100,Low,,,
10H_S4,2020,10,Herbicide,Shrub,2,100,Low,,,
10H_S5,2020,10,Herbicide,Shrub,3,100,Low,,,
10H_S6,2020,10,Herbicide,Shrub,3,100,Low,,,
11C_I1,2020,11,Control,Interspace,1,400,Medium,,,
11C_I2,2020,11,Control,Interspace,1,400,Medium,,,
11C_I3,2020,11,Control,Interspace,2,400,Medium,,,
11C_I4,2020,11,Control,Interspace,2,400,Medium,,,
11C_I5,2020,11,Control,Interspace,3,400,Medium,,,
11C_I6,2020,11,Control,Interspace,3,400,Medium,,,
11C_S1,2020,11,Control,Shrub,1,400,Medium,,,
11C_S2,2020,11,Control,Shrub,1,400,Medium,,,
11C_S3,2020,11,Control,Shrub,2,400,Medium,,,
11C_S4,2020,11,Control,Shrub,2,400,Medium,,,
11C_S5,2020,11,Control,Shrub,3,400,Medium,,,
11C_S6,2020,11,Control,Shrub,3,400,Medium,,,
11H_I1,2020,11,Herbicide,Interspace,1,400,Medium,,,
11H_I2,2020,11,Herbicide,Interspace,1,400,Medium,,,
11H_I3,2020,11,Herbicide,Interspace,2,400,Medium,,,
11H_I4,2020,11,Herbicide,Interspace,2,400,Medium,,,
11H_I5,2020,11,Herbicide,Interspace,3,400,Medium,,,
11H_I6,2020,11,Herbicide,Interspace,3,400,Medium,,,
11H_S1,2020,11,Herbicide,Shrub,1,400,Medium,,,
11H_S2,2020,11,Herbicide,Shrub,1,400,Medium,,,
11H_S3,2020,11,Herbicide,Shrub,2,400,Medium,,,
11H_S4,2020,11,Herbicide,Shrub,2,400,Medium,,,
11H_S5,2020,11,Herbicide,Shrub,3,400,Medium,,,
11H_S6,2020,11,Herbicide,Shrub,3,400,Medium,,,
12C_I1,2020,12,Control,Interspace,1,400,Medium,,,
12C_I2,2020,12,Control,Interspace,1,400,Medium,,,
12C_I3,2020,12,Control,Interspace,2,400,Medium,,,
12C_I4,2020,12,Control,Interspace,2,400,Medium,,,
12C_I5,2020,12,Control,Interspace,3,400,Medium,,,
12C_I6,2020,12,Control,Interspace,3,400,Medium,,,
12C_S1,2020,12,Control,Shrub,1,400,Medium,,,
12C_S2,2020,12,Control,Shrub,1,400,Medium,,,
12C_S3,2020,12,Control,Shrub,2,400,Medium,,,
12C_S4,2020,12,Control,Shrub,2,400,Medium,,,
12C_S5,2020,12,Control,Shrub,3,400,Medium,,,
12C_S6,2020,12,Control,Shrub,3,400,Medium,,,
12H_I1,2020,12,Herbicide,Interspace,1,400,Medium,,,
12H_I2,2020,12,Herbicide,Interspace,1,400,Medium,,,
12H_I3,2020,12,Herbicide,Interspace,2,400,Medium,,,
12H_I4,2020,12,Herbicide,Interspace,2,400,Medium,,,
12H_I5,2020,12,Herbicide,Interspace,3,400,Medium,,,
12H_I6,2020,12,Herbicide,Interspace,3,400,Medium,,,
12H_S1,2020,12,Herbicide,Shrub,1,400,Medium,,,
12H_S2,2020,12,Herbicide,Shrub,1,400,Medium,,,
12H_S3,2020,12,Herbicide,Shrub,2,400,Medium,,,
12H_S4,2020,12,Herbicide,Shrub,2,400,Medium,,,
12H_S5,2020,12,Herbicide,Shrub,3,400,Medium,,,
12H_S6,2020,12,Herbicide,Shrub,3,400,Medium,,,
13C_I1,2020,13,Control,Interspace,1,400,Medium,,,
13C_I2,2020,13,Control,Interspace,1,400,Medium,,,
13C_I3,2020,13,Control,Interspace,2,400,Medium,,,
13C_I4,2020,13,Control,Interspace,2,400,Medium,,,
13C_I5,2020,13,Control,Interspace,3,400,Medium,,,
13C_I6,2020,13,Control,Interspace,3,400,Medium,,,
13C_S1,2020,13,Control,Shrub,1,400,Medium,,,
13C_S2,2020,13,Control,Shrub,1,400,Medium,,,
13C_S3,2020,13,Control,Shrub,2,400,Medium,,,
13C_S4,2020,13,Control,Shrub,2,400,Medium,,,
13C_S5,2020,13,Control,Shrub,3,400,Medium,,,
13C_S6,2020,13,Control,Shrub,3,400,Medium,,,
13H_I1,2020,13,Herbicide,Interspace,1,400,Medium,,,
13H_I2,2020,13,Herbicide,Interspace,1,400,Medium,,,
13H_I3,2020,13,Herbicide,Interspace,2,400,Medium,,,
13H_I4,2020,13,Herbicide,Interspace,2,400,Medium,,,
13H_I5,2020,13,Herbicide,Interspace,3,400,Medium,,,
13H_I6,2020,13,Herbicide,Interspace,3,400,Medium,,,
13H_S1,2020,13,Herbicide,Shrub,1,400,Medium,,,
13H_S2,2020,13,Herbicide,Shrub,1,400,Medium,,,
13H_S3,2020,13,Herbicide,Shrub,2,400,Medium,,,
13H_S4,2020,13,Herbicide,Shrub,2,400,Medium,,,
13H_S5,2020,13,Herbicide,Shrub,3,400,Medium,,,
13H_S6,2020,13,Herbicide,Shrub,3,400,Medium,,,
14C_I1,2020,14,Control,Interspace,1,600,High,,,
14C_I2,2020,14,Control,Interspace,1,600,High,,,
14C_I3,2020,14,Control,Interspace,2,600,High,,,
14C_I4,2020,14,Control,Interspace,2,600,High,,,
14C_I5,2020,14,Control,Interspace,3,600,High,,,
14C_I6,2020,14,Control,Interspace,3,600,High,,,
14C_S1,2020,14,Control,Shrub,1,600,High,,,
14C_S2,2020,14,Control,Shrub,1,600,High,,,
14C_S3,2020,14,Control,Shrub,2,600,High,,,
14C_S4,2020,14,Control,Shrub,2,600,High,,,
14C_S5,2020,14,Control,Shrub,3,600,High,,,
14C_S6,2020,14,Control,Shrub,3,600,High,,,
14H_I1,2020,14,Herbicide,Interspace,1,600,High,,,
14H_I2,2020,14,Herbicide,Interspace,1,600,High,,,
14H_I3,2020,14,Herbicide,Interspace,2,600,High,,,
14H_I4,2020,14,Herbicide,Interspace,2,600,High,,,
14H_I5,2020,14,Herbicide,Interspace,3,600,High,,,
14H_I6,2020,14,Herbicide,Interspace,3,600,High,,,
14H_S1,2020,14,Herbicide,Shrub,1,600,High,,,
14H_S2,2020,14,Herbicide,Shrub,1,600,High,,,
14H_S3,2020,14,Herbicide,Shrub,2,600,High,,,
14H_S4,2020,14,Herbicide,Shrub,2,600,High,,,
14H_S5,2020,14,Herbicide,Shrub,3,600,High,,,
14H_S6,2020,14,Herbicide,Shrub,3,600,High,,,
15C_I1,2020,15,Control,Interspace,1,600,High,,,
15C_I2,2020,15,Control,Interspace,1,600,High,,,
15C_I3,2020,15,Control,Interspace,2,600,High,,,
15C_I4,2020,15,Control,Interspace,2,600,High,,,
15C_I5,2020,15,Control,Interspace,3,600,High,,,
15C_I6,2020,15,Control,Interspace,3,600,High,,,
15C_S1,2020,15,Control,Shrub,1,600,High,,,
15C_S2,2020,15,Control,Shrub,1,600,High,,,
15C_S3,2020,15,Control,Shrub,2,600,High,,,
15C_S4,2020,15,Control,Shrub,2,600,High,,,
15C_S5,2020,15,Control,Shrub,3,600,High,,,
15C_S6,2020,15,Control,Shrub,3,600,High,,,
15H_I1,2020,15,Herbicide,Interspace,1,600,High,,,
15H_I2,2020,15,Herbicide,Interspace,1,600,High,,,
15H_I3,2020,15,Herbicide,Interspace,2,600,High,,,
15H_I4,2020,15,Herbicide,Interspace,2,600,High,,,
15H_I5,2020,15,Herbicide,Interspace,3,600,High,,,
15H_I6,2020,15,Herbicide,Interspace,3,600,High,,,
15H_S1,2020,15,Herbicide,Shrub,1,600,High,,,
15H_S2,2020,15,Herbicide,Shrub,1,600,High,,,
15H_S3,2020,15,Herbicide,Shrub,2,600,High,,,
15H_S4,2020,15,Herbicide,Shrub,2,600,High,,,
15H_S5,2020,15,Herbicide,Shrub,3,600,High,,,
15H_S6,2020,15,Herbicide,Shrub,3,600,High,,,
16C_I1,2020,16,Control,Interspace,1,100,Low,,,
16C_I2,2020,16,Control,Interspace,1,100,Low,,,
16C_I3,2020,16,Control,Interspace,2,100,Low,,,
16C_I4,2020,16,Control,Interspace,2,100,Low,,,
16C_I5,2020,16,Control,Interspace,3,100,Low,,,
16C_I6,2020,16,Control,Interspace,3,100,Low,,,
16C_S1,2020,16,Control,Shrub,1,100,Low,,,
16C_S2,2020,16,Control,Shrub,1,100,Low,,,
16C_S3,2020,16,Control,Shrub,2,100,Low,,,
16C_S4,2020,16,Control,Shrub,2,100,Low,,,
16C_S5,2020,16,Control,Shrub,3,100,Low,,,
16C_S6,2020,16,Control,Shrub,3,100,Low,,,
16H_I1,2020,16,Herbicide,Interspace,1,100,Low,,,
16H_I2,2020,16,Herbicide,Interspace,1,100,Low,,,
16H_I3,2020,16,Herbicide,Interspace,2,100,Low,,,
16H_I4,2020,16,Herbicide,Interspace,2,100,Low,,,
16H_I5,2020,16,Herbicide,Interspace,3,100,Low,,,
16H_I6,2020,16,Herbicide,Interspace,3,100,Low,,,
16H_S1,2020,16,Herbicide,Shrub,1,100,Low,,,
16H_S2,2020,16,Herbicide,Shrub,1,100,Low,,,
16H_S3,2020,16,Herbicide,Shrub,2,100,Low,,,
16H_S4,2020,16,Herbicide,Shrub,2,100,Low,,,
16H_S5,2020,16,Herbicide,Shrub,3,100,Low,,,
16H_S6,2020,16,Herbicide,Shrub,3,100,Low,,,
17C_I1,2020,17,Control,Interspace,1,600,High,,,
17C_I2,2020,17,Control,Interspace,1,600,High,,,
17C_I3,2020,17,Control,Interspace,2,600,High,,,
17C_I4,2020,17,Control,Interspace,2,600,High,,,
17C_I5,2020,17,Control,Interspace,3,600,High,,,
17C_I6,2020,17,Control,Interspace,3,600,High,,,
17C_S1,2020,17,Control,Shrub,1,600,High,,,
17C_S2,2020,17,Control,Shrub,1,600,High,,,
17C_S3,2020,17,Control,Shrub,2,600,High,,,
17C_S4,2020,17,Control,Shrub,2,600,High,,,
17C_S5,2020,17,Control,Shrub,3,600,High,,,
17C_S6,2020,17,Control,Shrub,3,600,High,,,
17H_I1,2020,17,Herbicide,Interspace,1,600,High,,,
17H_I2,2020,17,Herbicide,Interspace,1,600,High,,,
17H_I3,2020,17,Herbicide,Interspace,2,600,High,,,
17H_I4,2020,17,Herbicide,Interspace,2,600,High,,,
17H_I5,2020,17,Herbicide,Interspace,3,600,High,,,
17H_I6,2020,17,Herbicide,Interspace,3,600,High,,,
17H_S1,2020,17,Herbicide,Shrub,1,600,High,,,
17H_S2,2020,17,Herbicide,Shrub,1,600,High,,,
17H_S3,2020,17,Herbicide,Shrub,2,600,High,,,
17H_S4,2020,17,Herbicide,Shrub,2,600,High,,,
17H_S5,2020,17,Herbicide,Shrub,3,600,High,,,
17H_S6,2020,17,Herbicide,Shrub,3,600,High,,,
18C_I1,2020,18,Control,Interspace,1,900,High,,,
18C_I2,2020,18,Control,Interspace,1,900,High,,,
18C_I3,2020,18,Control,Interspace,2,900,High,,,
18C_I4,2020,18,Control,Interspace,2,900,High,,,
18C_I5,2020,18,Control,Interspace,3,900,High,,,
18C_I6,2020,18,Control,Interspace,3,900,High,,,
18C_S1,2020,18,Control,Shrub,1,900,High,,,
18C_S2,2020,18,Control,Shrub,1,900,High,,,
18C_S3,2020,18,Control,Shrub,2,900,High,,,
18C_S4,2020,18,Control,Shrub,2,900,High,,,
18C_S5,2020,18,Control,Shrub,3,900,High,,,
18C_S6,2020,18,Control,Shrub,3,900,High,,,
18H_I1,2020,18,Herbicide,Interspace,1,900,High,,,
18H_I2,2020,18,Herbicide,Interspace,1,900,High,,,
18H_I3,2020,18,Herbicide,Interspace,2,900,High,,,
18H_I4,2020,18,Herbicide,Interspace,2,900,High,,,
18H_I5,2020,18,Herbicide,Interspace,3,900,High,,,
18H_I6,2020,18,Herbicide,Interspace,3,900,High,,,
18H_S1,2020,18,Herbicide,Shrub,1,900,High,,,
18H_S2,2020,18,Herbicide,Shrub,1,900,High,,,
18H_S3,2020,18,Herbicide,Shrub,2,900,High,,,
18H_S4,2020,18,Herbicide,Shrub,2,900,High,,,
18H_S5,2020,18,Herbicide,Shrub,3,900,High,,,
18H_S6,2020,18,Herbicide,Shrub,3,900,High,,,
19C_I1,2020,19,Control,Interspace,1,600,High,,,
19C_I2,2020,19,Control,Interspace,1,600,High,,,
19C_I3,2020,19,Control,Interspace,2,600,High,,,
19C_I4,2020,19,Control,Interspace,2,600,High,,,
19C_I5,2020,19,Control,Interspace,3,600,High,,,
19C_I6,2020,19,Control,Interspace,3,600,High,,,
19C_S1,2020,19,Control,Shrub,1,600,High,,,
19C_S2,2020,19,Control,Shrub,1,600,High,,,
19C_S3,2020,19,Control,Shrub,2,600,High,,,
19C_S4,2020,19,Control,Shrub,2,600,High,,,
19C_S5,2020,19,Control,Shrub,3,600,High,,,
19C_S6,2020,19,Control,Shrub,3,600,High,,,
19H_I1,2020,19,Herbicide,Interspace,1,600,High,,,
19H_I2,2020,19,Herbicide,Interspace,1,600,High,,,
19H_I3,2020,19,Herbicide,Interspace,2,600,High,,,
19H_I4,2020,19,Herbicide,Interspace,2,600,High,,,
19H_I5,2020,19,Herbicide,Interspace,3,600,High,,,
19H_I6,2020,19,Herbicide,Interspace,3,600,High,,,
19H_S1,2020,19,Herbicide,Shrub,1,600,High,,,
19H_S2,2020,19,Herbicide,Shrub,1,600,High,,,
19H_S3,2020,19,Herbicide,Shrub,2,600,High,,,
19H_S4,2020,19,Herbicide,Shrub,2,600,High,,,
19H_S5,2020,19,Herbicide,Shrub,3,600,High,,,
19H_S6,2020,19,Herbicide,Shrub,3,600,High,,,
20C_I1,2020,20,Control,Interspace,1,900,High,,,
20C_I2,2020,20,Control,Interspace,1,900,High,,,
20C_I3,2020,20,Control,Interspace,2,900,High,,,
20C_I4,2020,20,Control,Interspace,2,900,High,,,
20C_I5,2020,20,Control,Interspace,3,900,High,,,
20C_I6,2020,20,Control,Interspace,3,900,High,,,
20C_S1,2020,20,Control,Shrub,1,900,High,,,
20C_S2,2020,20,Control,Shrub,1,900,High,,,
20C_S3,2020,20,Control,Shrub,2,900,High,,,
20C_S4,2020,20,Control,Shrub,2,900,High,,,
20C_S5,2020,20,Control,Shrub,3,900,High,,,
20C_S6,2020,20,Control,Shrub,3,900,High,,,
20H_I1,2020,20,Herbicide,Interspace,1,900,High,,,
20H_I2,2020,20,Herbicide,Interspace,1,900,High,,,
20H_I3,2020,20,Herbicide,Interspace,2,900,High,,,
20H_I4,2020,20,Herbicide,Interspace,2,900,High,,,
20H_I5,2020,20,Herbicide,Interspace,3,900,High,,,
20H_I6,2020,20,Herbicide,Interspace,3,900,High,,,
20H_S1,2020,20,Herbicide,Shrub,1,900,High,,,
20H_S2,2020,20,Herbicide,Shrub,1,900,High,,,
20H_S3,2020,20,Herbicide,Shrub,2,900,High,,,
20H_S4,2020,20,Herbicide,Shrub,2,900,High,,,
20H_S5,2020,20,Herbicide,Shrub,3,900,High,,,
20H_S6,2020,20,Herbicide,Shrub,3,900,High,,,
Ctl_1,2020,,,,,,,,,
Ctl_2,2020,,,,,,,,,
Ctl_3,2020,,,,,,,,,
Ctl_4,2020,,,,,,,,,
Ctl_5,2020,,,,,,,,,
Ctl_6,2020,,,,,,,,,
Ctl_7,2020,,,,,,,,,
Ctl_8,2020,,,,,,,,,
Ctl_9,2020,,,,,,,,,
Ctl_10,2020,,,,,,,,,
Ctl_11,2020,,,,,,,,,
Ctl_12,2020,,,,,,,,,
Ctl_13,2020,,,,,,,,,
Ctl_14,2020,,,,,,,,,
Ctl_15,2020,,,,,,,,,
Ctl_16,2020,,,,,,,,,
Ctl_17,2020,,,,,,,,,
Ctl_18,2020,,,,,,,,,
Ctl_19,2020,,,,,,,,,
Ctl_20,2020,,,,,,,,,
Ctl_21,2020,,,,,,,,,
Ctl_22,2020,,,,,,,,,
Ctl_23,2020,,,,,,,,,
Ctl_24,2020,,,,,,,,,
Ctl_25,2020,,,,,,,,,
Ctl_26,2020,,,,,,,,,
Ctl_27,2020,,,,,,,,,
Ctl_28,2020,,,,,,,,,
Ctl_29,2020,,,,,,,,,
Ctl_30,2020,,,,,,,,,
Ctl_31,2020,,,,,,,,,
Ctl_32,2020,,,,,,,,,
Ctl_33,2020,,,,,,,,,
Ctl_34,2020,,,,,,,,,
Ctl_35,2020,,,,,,,,,
Ctl_36,2020,,,,,,,,,
Ctl_37,2020,,,,,,,,,
Ctl_38,2020,,,,,,,,,
Ctl_39,2020,,,,,,,,,
Ctl_40,2020,,,,,,,,,
Ctl_41,2020,,,,,,,,,
Ctl_42,2020,,,,,,,,,
Ctl_43,2020,,,,,,,,,
Ctl_44,2020,,,,,,,,,
Ctl_45,2020,,,,,,,,,
Ctl_46,2020,,,,,,,,,
Ctl_47,2020,,,,,,,,,
Ctl_48,2020,,,,,,,,,
Ctl_49,2020,,,,,,,,,
Ctl_50,2020,,,,,,,,,
