Block_Num,Treatment,Year,EcolState,Shrub_Encroach,N,Total,sd,se,ci
11,Control,2021,400,Medium,12,2525.967894,1369.068226,395.2159545,869.8644509
11,Herbicide,2021,400,Medium,12,1959.395656,907.6281909,262.0096902,576.6794399
12,Control,2021,400,Medium,12,1841.359773,1204.912446,347.8282624,765.5648438
12,Herbicide,2021,400,Medium,12,1369.216242,771.8828058,222.8233729,490.430937
13,Control,2021,400,Medium,12,1534.466478,729.3606948,210.5482967,463.4136766
13,Herbicide,2021,400,Medium,12,1440.037771,677.5039082,195.5785319,430.4654463
14,Control,2021,600,High,12,519.3578848,551.3448613,159.159552,350.3078121
14,Herbicide,2021,600,High,12,424.9291785,427.0698932,123.2844589,271.3472645
15,Control,2021,600,High,12,1628.895184,1011.533772,292.0046477,642.6978963
15,Herbicide,2021,600,High,12,1274.787535,749.5046207,216.3633473,476.2125165
16,Control,2021,100,Low,12,542.9650614,351.3066316,101.4134891,223.2095846
16,Herbicide,2021,100,Low,12,542.9650614,443.1386091,127.9230976,281.5568395
17,Control,2021,600,High,12,1369.216242,1151.241869,332.3349014,731.4641862
17,Herbicide,2021,600,High,12,495.7507082,735.9989267,212.4645892,467.631408
18,Control,2021,900,High,12,1652.502361,1322.30844,381.7175668,840.1546999
18,Herbicide,2021,900,High,12,1369.216242,835.4284735,241.167427,530.805928
19,Control,2021,600,High,12,1416.430595,1195.795701,345.1964849,759.7723406
19,Herbicide,2021,600,High,12,495.7507082,298.9489252,86.29912122,189.9430851
20,Control,2021,900,High,12,684.6081209,426.3575159,123.0788133,270.8946416
20,Herbicide,2021,900,High,12,542.9650614,677.5039082,195.5785319,430.4654463
